id_bic,nivel,codigo_nacional,tipo_bic,grupo,subgrupo,categoria,subcategoria,codigo_dane,codigo_dane₂,nombre_bien,direccion,acto_administrativo,zona_influencia,pemp
bic0031,Nacional,01-01-01-03-15-740-000001,Inmueble,Arquitectónico,"Arquitectura
Religiosa","Centro
Doctrinero",Capilla Doctrinera,15740,,Capilla Doctrinera Siachoque,,"Resolución 1686 del 1 de diciembre de
2004","Definida según lo enunciado en el
Artículo 14 del Decreto 2358 de",
bic0032,Nacional,01-01-01-03-15-757-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Iglesia,Iglesia,15757,,Iglesia de Socha Viejo,Corregimiento Socha Viejo,Decreto 268 del 12 de febrero de 1980,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0033,Nacional,01-01-01-08-15-759-000002,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15759,,Estación del Ferrocarril Belencito - Chicamocha,Inspección De Policía Belencito,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0034,Nacional,01-01-01-08-15-759-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15759,,Estación del Ferrocarril Sogamoso,Vía Briceño-Sogamoso,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0035,Nacional,01-01-01-09-15-296-000001,Inmueble,Arquitectónico,Obra De Ingeniería,Infraestructura,Puente,15759,,Puente de Reyes-Boyacá,,Ley 965 del 12 de julio de 2005,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0036,Nacional,01-01-01-04-15-759-000001,Inmueble,Arquitectónico,Arquitectura Institucional,Edificación Para La Cultura,Teatro,15759,,Teatro Sogamoso,"Esquina Calle 12, Carrera 9",Decreto 2011 del 5 de noviembre de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0037,Nacional,01-01-01-03-15-762-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15762,,Capilla Doctrinera Sora,Plaza Principal,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0038,Nacional,01-01-01-08-15-763-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15763,,Estación del Ferrocarril Sotaquirá,,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0039,Nacional,01-01-01-03-15-776-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Conjunto Conventual,Claustro,15776,,Convento del Santo Ecce Homo,Vía Villa De Leyva - Santa Sofía,Resolución 789 del 31 de julio de 1998,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0040,Nacional,01-01-01-08-15-806-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15806,,Estación del Ferrocarril Tibasosa,"Ferrocarril Del Nordeste. Línea
Bogotá - Sogamoso. Kilómetro 247",Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0041,Nacional,01-01-01-02-15-806-000002,Inmueble,Arquitectónico,,,,15806,,Museo de Arte Religioso,"Vereda Suescún. Vía Duitama - Nobsa. Km 6, Lote Culturama",Decreto 923 del 19 de marzo de 1986,Decreto 923 del 19 de marzo de 1986,
bic0042,Nacional,01-01-01-02-15-810-000001,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Rural,Casa De Hacienda,15810,,Casa de Hacienda Tipacoque,,Decreto 390 del 17 de marzo de 1970,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0043,Nacional,01-01-01-03-15-820-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15820,,Capilla Doctrinera Tópaga,Plaza Principal,Ley 42 del 18 de noviembre de 1965,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0044,Nacional,01-01-01-09-15-820-000001,Inmueble,Arquitectónico,Obra De Ingeniería,Infraestructura,Puente,15820,,Puente Sobre el Río Gámeza,Ruta De La Campaña Libertadora,Resolución 109 del 9 de febrero de 2005,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0045,Nacional,01-01-01-04-15-001-000012,Inmueble,Arquitectónico,Arquitectura Institucional,Edificación Para La Educación,Institución De Educación Básica,15001,,"Carrera 10 18-51 al 99 Colegio de Boyacá, Sede Francisco de Paula Santander",Carrera 10 18-51 Al 99,Resolución 0454 de 21 de diciembre de 2022,,"No requiere PEMP (Resolución 0454 de 21 de diciembre de
2022)"
bic0046,Nacional,01-01-01-02-15-001-000001,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Urbana,Vivienda Unifamiliar,15001,,Casa Cultural Gustavo Rojas Pinilla,Calle 17 10-63,Ley 50 del 9 de octubre de 1986,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
